username,first_name,last_name,email,password,role,degrees,position,doctor_license,hospital_name,phone_number,about_me,token_id,is_active,is_staff
dr_rahim_sheikh_40,Rahim,Sheikh,dr_rahim_sheikh_40@testmail.com,password123,doctor,"MBBS, MD",Senior Consultant,BMDC-800654,Sir Salimullah Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000040,True,True
dr_nayeem_islam_41,Nayeem,Islam,dr_nayeem_islam_41@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Associate Professor,BMDC-856443,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000041,True,True
dr_tanvir_das_42,Tanvir,Das,dr_tanvir_das_42@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Professor,BMDC-612087,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000042,True,True
dr_fahim_sarker_43,Fahim,Sarker,dr_fahim_sarker_43@testmail.com,password123,doctor,MBBS,Professor,BMDC-452082,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000043,True,True
dr_karim_jaman_44,Karim,Jaman,dr_karim_jaman_44@testmail.com,password123,doctor,MBBS,Associate Professor,BMDC-658556,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000044,True,True
dr_hasan_alam_45,Hasan,Alam,dr_hasan_alam_45@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-113538,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000045,True,True
dr_imran_das_46,Imran,Das,dr_imran_das_46@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Assistant Professor,BMDC-872747,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000046,True,True
dr_fahim_talukder_47,Fahim,Talukder,dr_fahim_talukder_47@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Associate Professor,BMDC-496614,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000047,True,True
dr_abdur_talukder_48,Abdur,Talukder,dr_abdur_talukder_48@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-530847,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000048,True,True
dr_arif_sarker_49,Arif,Sarker,dr_arif_sarker_49@testmail.com,password123,doctor,MBBS,Consultant,BMDC-256710,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000049,True,True
dr_fahim_biswas_50,Fahim,Biswas,dr_fahim_biswas_50@testmail.com,password123,doctor,MBBS,Consultant,BMDC-181369,Sir Salimullah Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000050,True,True
dr_hasan_haque_51,Hasan,Haque,dr_hasan_haque_51@testmail.com,password123,doctor,"MBBS, FCPS",Senior Consultant,BMDC-598336,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000051,True,True
dr_md_haque_52,Md,Haque,dr_md_haque_52@testmail.com,password123,doctor,"MBBS, FCPS",Senior Consultant,BMDC-151866,Ibn Sina Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000052,True,True
dr_md_islam_53,Md,Islam,dr_md_islam_53@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Associate Professor,BMDC-875142,Ibn Sina Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000053,True,True
dr_rakib_chowdhury_54,Rakib,Chowdhury,dr_rakib_chowdhury_54@testmail.com,password123,doctor,MBBS,Assistant Professor,BMDC-911583,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000054,True,True
dr_fahim_das_55,Fahim,Das,dr_fahim_das_55@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Senior Consultant,BMDC-711663,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000055,True,True
dr_rahim_miah_56,Rahim,Miah,dr_rahim_miah_56@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Senior Consultant,BMDC-387450,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000056,True,True
dr_sajid_islam_57,Sajid,Islam,dr_sajid_islam_57@testmail.com,password123,doctor,MBBS,Consultant,BMDC-331454,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000057,True,True
dr_mohammad_miah_58,Mohammad,Miah,dr_mohammad_miah_58@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-528747,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000058,True,True
dr_arif_alam_59,Arif,Alam,dr_arif_alam_59@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Senior Consultant,BMDC-768185,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000059,True,True
dr_saiful_kabir_60,Saiful,Kabir,dr_saiful_kabir_60@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Senior Consultant,BMDC-226477,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000060,True,True
dr_shahin_ahmed_61,Shahin,Ahmed,dr_shahin_ahmed_61@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Consultant,BMDC-914363,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000061,True,True
dr_abdur_chowdhury_62,Abdur,Chowdhury,dr_abdur_chowdhury_62@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Consultant,BMDC-458701,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000062,True,True
dr_tanvir_roy_63,Tanvir,Roy,dr_tanvir_roy_63@testmail.com,password123,doctor,"MBBS, MD",Consultant,BMDC-172745,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000063,True,True
dr_hasan_chowdhury_64,Hasan,Chowdhury,dr_hasan_chowdhury_64@testmail.com,password123,doctor,"MBBS, MD",Senior Consultant,BMDC-972461,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000064,True,True
dr_abdul_mondal_65,Abdul,Mondal,dr_abdul_mondal_65@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Professor,BMDC-416595,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000065,True,True
dr_sakib_mondal_66,Sakib,Mondal,dr_sakib_mondal_66@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Associate Professor,BMDC-790685,Ibn Sina Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000066,True,True
dr_imran_ahmed_67,Imran,Ahmed,dr_imran_ahmed_67@testmail.com,password123,doctor,MBBS,Assistant Professor,BMDC-111188,Ibn Sina Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000067,True,True
dr_shahin_roy_68,Shahin,Roy,dr_shahin_roy_68@testmail.com,password123,doctor,MBBS,Senior Consultant,BMDC-218355,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000068,True,True
dr_sakib_rahman_69,Sakib,Rahman,dr_sakib_rahman_69@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Consultant,BMDC-229849,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000069,True,True
dr_karim_alam_70,Karim,Alam,dr_karim_alam_70@testmail.com,password123,doctor,"MBBS, FCPS",Senior Consultant,BMDC-577928,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000070,True,True
dr_abdur_biswas_71,Abdur,Biswas,dr_abdur_biswas_71@testmail.com,password123,doctor,MBBS,Assistant Professor,BMDC-689456,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000071,True,True
dr_abdur_hossain_72,Abdur,Hossain,dr_abdur_hossain_72@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Consultant,BMDC-664222,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000072,True,True
dr_md_islam_73,Md,Islam,dr_md_islam_73@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-442722,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000073,True,True
dr_abdul_mondal_74,Abdul,Mondal,dr_abdul_mondal_74@testmail.com,password123,doctor,MBBS,Assistant Professor,BMDC-872350,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000074,True,True
dr_imran_hossain_75,Imran,Hossain,dr_imran_hossain_75@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Assistant Professor,BMDC-890953,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000075,True,True
dr_fahim_islam_76,Fahim,Islam,dr_fahim_islam_76@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Consultant,BMDC-876741,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000076,True,True
dr_saiful_talukder_77,Saiful,Talukder,dr_saiful_talukder_77@testmail.com,password123,doctor,"MBBS, MD",Assistant Professor,BMDC-457833,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000077,True,True
dr_abdul_mondal_78,Abdul,Mondal,dr_abdul_mondal_78@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Associate Professor,BMDC-577296,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000078,True,True
dr_arif_chowdhury_79,Arif,Chowdhury,dr_arif_chowdhury_79@testmail.com,password123,doctor,"MBBS, MD",Professor,BMDC-829232,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000079,True,True
dr_mohammad_sheikh_80,Mohammad,Sheikh,dr_mohammad_sheikh_80@testmail.com,password123,doctor,MBBS,Senior Consultant,BMDC-605836,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000080,True,True
dr_rafi_mondal_81,Rafi,Mondal,dr_rafi_mondal_81@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-537895,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000081,True,True
dr_shahin_roy_82,Shahin,Roy,dr_shahin_roy_82@testmail.com,password123,doctor,"MBBS, FCPS",Consultant,BMDC-394826,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000082,True,True
dr_rakib_haque_83,Rakib,Haque,dr_rakib_haque_83@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-638406,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000083,True,True
dr_karim_jaman_84,Karim,Jaman,dr_karim_jaman_84@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Assistant Professor,BMDC-110832,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000084,True,True
dr_md_biswas_85,Md,Biswas,dr_md_biswas_85@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-510814,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000085,True,True
dr_rahim_haque_86,Rahim,Haque,dr_rahim_haque_86@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Assistant Professor,BMDC-443024,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000086,True,True
dr_imran_kabir_87,Imran,Kabir,dr_imran_kabir_87@testmail.com,password123,doctor,MBBS,Associate Professor,BMDC-311011,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000087,True,True
dr_shahin_islam_88,Shahin,Islam,dr_shahin_islam_88@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-404358,Sir Salimullah Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000088,True,True
dr_ashik_sheikh_89,Ashik,Sheikh,dr_ashik_sheikh_89@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Consultant,BMDC-527701,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000089,True,True
dr_rakib_talukder_90,Rakib,Talukder,dr_rakib_talukder_90@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Senior Consultant,BMDC-544007,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000090,True,True
dr_fahim_islam_91,Fahim,Islam,dr_fahim_islam_91@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Associate Professor,BMDC-468236,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000091,True,True
dr_hasan_mondal_92,Hasan,Mondal,dr_hasan_mondal_92@testmail.com,password123,doctor,"MBBS, MD",Associate Professor,BMDC-885039,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000092,True,True
dr_sajid_chowdhury_93,Sajid,Chowdhury,dr_sajid_chowdhury_93@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Associate Professor,BMDC-695119,Sir Salimullah Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000093,True,True
dr_saiful_sarker_94,Saiful,Sarker,dr_saiful_sarker_94@testmail.com,password123,doctor,MBBS,Associate Professor,BMDC-304266,Ibn Sina Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000094,True,True
dr_arif_khan_95,Arif,Khan,dr_arif_khan_95@testmail.com,password123,doctor,MBBS,Senior Consultant,BMDC-549494,Ibn Sina Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000095,True,True
dr_tanvir_islam_96,Tanvir,Islam,dr_tanvir_islam_96@testmail.com,password123,doctor,"MBBS, FCPS",Consultant,BMDC-514311,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000096,True,True
dr_mahmud_das_97,Mahmud,Das,dr_mahmud_das_97@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Assistant Professor,BMDC-122343,Sir Salimullah Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000097,True,True
dr_nayeem_sarker_98,Nayeem,Sarker,dr_nayeem_sarker_98@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-111264,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000098,True,True
dr_md_mondal_99,Md,Mondal,dr_md_mondal_99@testmail.com,password123,doctor,MBBS,Associate Professor,BMDC-225761,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000099,True,True
dr_arif_hossain_100,Arif,Hossain,dr_arif_hossain_100@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-338791,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000100,True,True
dr_arif_alam_101,Arif,Alam,dr_arif_alam_101@testmail.com,password123,doctor,MBBS,Professor,BMDC-697721,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000101,True,True
dr_shahin_sarker_102,Shahin,Sarker,dr_shahin_sarker_102@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Senior Consultant,BMDC-164442,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000102,True,True
dr_sajid_mondal_103,Sajid,Mondal,dr_sajid_mondal_103@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Associate Professor,BMDC-541266,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000103,True,True
dr_rahim_miah_104,Rahim,Miah,dr_rahim_miah_104@testmail.com,password123,doctor,"MBBS, FCPS",Professor,BMDC-195828,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000104,True,True
dr_ashik_chowdhury_105,Ashik,Chowdhury,dr_ashik_chowdhury_105@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-258220,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000105,True,True
dr_ashik_sarker_106,Ashik,Sarker,dr_ashik_sarker_106@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Consultant,BMDC-389718,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000106,True,True
dr_ashik_miah_107,Ashik,Miah,dr_ashik_miah_107@testmail.com,password123,doctor,"MBBS, MD",Assistant Professor,BMDC-597114,Sir Salimullah Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000107,True,True
dr_rakib_talukder_108,Rakib,Talukder,dr_rakib_talukder_108@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Professor,BMDC-721571,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000108,True,True
dr_mahmud_hossain_109,Mahmud,Hossain,dr_mahmud_hossain_109@testmail.com,password123,doctor,"MBBS, MD",Professor,BMDC-439559,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000109,True,True
dr_imran_biswas_110,Imran,Biswas,dr_imran_biswas_110@testmail.com,password123,doctor,MBBS,Senior Consultant,BMDC-152433,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000110,True,True
dr_saiful_roy_111,Saiful,Roy,dr_saiful_roy_111@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-418661,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000111,True,True
dr_nayeem_mahmud_112,Nayeem,Mahmud,dr_nayeem_mahmud_112@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Senior Consultant,BMDC-545771,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000112,True,True
dr_saiful_rahman_113,Saiful,Rahman,dr_saiful_rahman_113@testmail.com,password123,doctor,MBBS,Consultant,BMDC-724560,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000113,True,True
